,COUNTRYNAME,YEAR,"Agriculture, forestry, and fishing, value added (% of GDP)",GDP (current US$),"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Population, total","Services, value added (% of GDP)","Stocks traded, total value (% of GDP)",Tax revenue (% of GDP),Trade (% of GDP),"Agriculture, forestry, and fishing, value added (% of GDP)(current US$)","Industry (including construction), value added (% of GDP)(current US$)","Services, value added (% of GDP)(current US$)","Stocks traded, total value (% of GDP)(current US$)",Tax revenue (% of GDP)(current US$),Trade (% of GDP)(current US$),GDP per Capita,GDP Growth
0,Australia,2000,3.110428355,416168000000.0,24.55053314,2.550765283,19028802.0,64.36815086,51.23493511,23.02414158,40.93521098,1294460747643.64,10217146275807.52,26787964607104.48,21322340474858.48,9581910953065.44,17035924883124.64,21870.425684181275,
1,Australia,2001,3.496880133,379629000000.0,23.63352097,4.630740577,19274701.0,64.16535435,63.36978177,24.85786017,44.2187045,1327517108010.657,8971969932320.129,24359029306536.152,24057006883563.332,9436764598476.93,16786702570630.5,19695.714086563523,-8.779867745718073
2,Australia,2002,3.94502714,395789000000.0,23.6117317,2.840354442,19495210.0,63.95314404,73.51043699,23.54814488,41.4490922,1561398346713.46,9345263677811.3,25311950926447.56,29094622345835.11,9320096713910.32,16405094752745.8,20301.85876428107,4.256787547842755
3,Australia,2003,2.887407422,467739000000.0,24.04209646,2.985545089,19720737.0,64.27055888,90.15061991,24.29996962,40.20156691,1350553060158.858,11245426156103.94,30061846939972.316,42166960806083.49,11366043490089.18,18803840704916.49,23718.12980417517,18.178878139614785
4,Australia,2004,3.061605923,614660000000.0,23.93491874,3.232299362,19932722.0,64.24650701,88.65427027,24.25826506,37.00961359,1881846696631.1802,14711837152728.4,39489757998766.6,54492233764158.195,14910585201779.6,22748329089229.402,30836.731681704085,31.410893682160346
5,Australia,2005,2.885864268,695693000000.0,24.61850662,3.825480668,20176844.0,64.3318544,88.06609945,24.75454972,39.16074697,2007675570197.724,17126922725987.66,44755220783099.195,61266968924668.84,17221566958355.96,27243857541800.207,34479.7729516073,13.18338593694075
6,Australia,2006,2.731033379,748418000000.0,25.61483015,5.115339778,20450966.0,63.67472501,114.7679802,24.51177239,41.55944717,2043954539444.4219,19170599951202.7,47655310342534.18,85894422205323.6,18345051668579.02,31103838332077.06,36595.72853429026,7.57877397070259
7,Australia,2007,2.206014014,855007000000.0,25.66594094,4.986051732,20827622.0,64.28670469,160.6137615,24.03934536,42.00802003,1886157424068.098,21944559165286.58,54965582516882.83,137325890378830.52,20553808558217.52,35917151181790.21,41051.590047101876,14.241907597091474
8,Australia,2008,2.342092302,1056110000000.0,25.60457568,4.569782907,21249199.0,64.42016939,79.51179424,24.20769581,42.8467764,2473507101065.22,27041248421404.8,68034785094472.9,83973201014806.4,25565989621899.1,45250909023804.0,49701.16755930424,23.52062614692043
9,Australia,2009,2.301098506,928762000000.0,27.04597361,4.94917908,21691653.0,64.02146434,90.60243516,22.02100614,45.74086303,2137172850629.5723,25119272541970.82,59460703263347.08,84148098884071.92,20452273704598.68,42482375429468.86,42816.561743819155,-12.058213633049586
10,Australia,2010,2.204440315,1148840000000.0,25.17307843,1.153772493,22031750.0,65.64851317,98.4766451,20.47799546,40.52158899,2532549211484.5996,28919839423521.2,75419637870222.8,113133908956684.0,23525940304266.4,46552822295271.59,52144.74565116253,23.695844575897816
11,Australia,2011,2.292396721,1398610000000.0,26.52184365,6.201976681,22340024.0,64.55938738,80.68599555,20.32252448,41.85113203,3206168977957.8096,37093715747326.5,90293404783541.81,112848240236185.5,28423285962972.797,58533411768478.305,62605.572849876975,21.741060548031065
12,Australia,2012,2.267817567,1547530000000.0,26.37902152,1.805698922,22733465.0,65.09503991,58.5232212,21.09908592,43.1642965,3509515719459.51,40822327172845.59,100736527111922.3,90566440503636.0,32651468433777.6,66798043762645.0,68072.77289229777,10.647714516555729
13,Australia,2013,2.285478618,1577120000000.0,25.18645053,-0.163600551,23128129.0,66.17694603,49.95686103,21.94434163,41.27287902,3604474038020.16,39722054859873.59,104368985122833.6,78787964667633.6,34608860071505.6,65092282960022.4,68190.5570485187,1.9120792488675598
14,Australia,2014,2.22073827,1468270000000.0,25.56515748,1.405396016,23475686.0,65.61285236,47.91271598,21.89787868,42.48402303,3260643379692.9,37536553773159.6,96337382734617.2,70348803491954.6,32151998329483.6,62378016494258.1,62544.28518084626,-6.9018210408846485
15,Australia,2015,2.375990124,1351300000000.0,23.6809068,-0.623858471,23815995.0,67.15493808,55.54934916,21.87407068,41.66393193,3210675454561.1997,32000009358840.0,90746467827503.98,75063835519908.0,29558431709884.0,56300471217008.99,56739.17885857803,-7.9665184196367145
16,Australia,2016,2.405553002,1206840000000.0,22.31997558,-0.66315762,24190907.0,68.12765922,65.87278809,22.27552213,40.97407948,2903117584933.68,26936639328967.203,82219184253064.8,79497915578535.6,26882991127369.2,49449158079643.2,49888.1666570005,-10.690446236957008
17,Australia,2017,2.706446942,1325580000000.0,23.47406061,3.653184418,24592588.0,66.89276337,63.57745477,22.11036864,42.20373168,3587611937376.36,31116745263403.797,88671709268004.6,84277002494016.61,29309062461811.2,55944422640374.4,53901.60645150482,9.838918166451238
18,Australia,2018,2.460037621,1427810000000.0,24.12405777,1.869014789,24963258.0,66.56265184,54.21081446,23.20844496,43.73606508,3512466315640.0103,34444570924583.7,95038819923670.4,77402742994132.61,33137249798337.6,62446791081874.805,57196.460494058905,7.712095837293864
19,Australia,2019,2.115780722,1392720000000.0,25.2720792,3.46820261,25334826.0,66.01291314,59.89888299,23.40844001,46.18750189,2946690127143.84,35196930143424.0,91937504388340.8,83422372317832.8,32601402570727.2,64326257632240.8,54972.55043314685,-2.4576099060799383
20,Australia,2020,2.012249308,1328410000000.0,25.38645572,1.88550119,25649248.0,66.25051787,92.30286387,22.59092489,44.66445607,2673092103240.28,33723621643005.2,88007850443686.69,122616047393546.69,30010010533124.9,59332710087948.7,51791.381953966054,-4.617582859440517
21,Australia,2021,2.303839925,1556740000000.0,25.42086525,3.07994986,25685412.0,65.72636591,68.61760745,23.06126793,40.30248027,3586479764844.5,39573677769285.0,102318862866733.39,106819774221712.98,35900398237348.2,62740483135519.8,60607.94352841216,17.188217493093248
22,Australia,2022,2.673227686,1690860000000.0,27.48251427,7.175533615,26014399.0,63.28037801,64.4311841,23.62795125,45.82177023,4520053765149.96,46469084078572.195,106998259961988.6,108944111947326.0,39951557650575.0,77478198411097.8,64997.08103961963,8.615439957860648
23,Australia,2023,2.573502062,1728060000000.0,27.65088239,6.51199895,26652777.0,63.57443955,51.94931275,,49.22518406,4447165973259.721,47782383822863.4,109860446008773.0,89771529390765.0,,85064071566723.6,64836.02065180675,2.2000638728221222
24,Australia,2024,2.218165505,1752190000000.0,25.96795925,2.62654569,27204809.0,65.54367766,48.24080576,,47.31422901,3886647416205.95,45500798518257.5,114844976559075.4,84527057444614.4,,82903518929031.89,64407.36268356084,1.396363552191482
25,Brazil,2000,4.750459976,655448000000.0,23.00661863,5.606065141,174018282.0,58.25186125,14.34915458,,22.63976136,3113679490349.248,15079642167796.238,38181065952590.0,9405124671151.84,,14839186303889.281,3766.546781561721,-62.59264120900131
26,Brazil,2001,4.801043016,559984000000.0,22.63952791,8.225094321,176301203.0,57.71369225,11.51407755,,26.93628502,2688507272271.744,12677773397153.441,32318744240924.0,6447699202759.2,,15083888630639.68,3176.291428935967,-14.564694682110558
27,Brazil,2002,5.475274893,509795000000.0,22.49532782,9.798112238,178503484.0,57.34814547,7.7236279,,27.6183574,2791267764076.935,11468005645996.9,29235797819878.65,3937466885280.5,,14079700510733.0,2855.9386549564488,-8.962577502214353
28,Brazil,2003,6.167184386,558234000000.0,23.08381782,14.09102152,180622688.0,56.35782814,12.62531163,,28.14038472,3442732008534.3237,12886171956929.88,31460855833904.76,7047878212461.42,,15708919523784.48,3090.608417919237,9.50166243293873
29,Brazil,2004,5.665311576,669289000000.0,24.30662329,7.752060763,182675143.0,54.92047111,16.9855291,,29.67825248,3791730719389.464,16268155595140.81,36757667188740.79,11368227785809.9,,19863327924086.723,3663.8208625899365,19.893987109348398
30,Brazil,2005,4.651168823,891634000000.0,24.17257828,7.431224757,184688101.0,56.07589161,19.16930497,,27.0867952,4147140262326.7817,21553092662109.52,49999171539790.74,17092004067620.979,,24151507551356.8,4827.78259764553,33.22107490187347
