Country Name,Country Code,Series Name,Series Code,2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,..,17152234637,14497243872,14259995441,19955929052,18799444490,18053222687,18753456498,18116572395,19134221645,20497128556,20146416758,19907329778,17805098206,15856668556,12416152732,10109297048,9747886187,6971758282,6203256539,5224896719,4520946819,3825701439,2813571754,3521418060,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,67.58466515,72.88546961,51.41171637,46.70989455,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,..,9.898450897,9.502652783,7.585382331,6.882102943,7.12277329,7.707800603,8.916793996,9.169751919,8.481758361,6.08796493,5.283456604,6.967597575,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,..,46.37436987,45.0499088,47.16042239,52.57210909,55.47280674,59.47742291,58.32905001,59.02321641,53.2352935,52.99086504,52.68274347,50.57939792,49.6968204,48.87937691,45.24443493,45.40983087,40.29468522,39.83102433,39.00778718,41.11089534,37.44480384,36.1511546,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..,13.44982271,16.05036772,14.27365702,12.9525996,14.05811237,13.38724696,10.051874,10.46680769,22.12404249,21.22966322,20.44460531,21.15780715,22.74025248,21.1514207,21.89712221,26.915628,26.88224161,28.21076807,26.81209923,26.22678975,22.71086418,23.81012701,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,34.74324714,33.70143232,33.59761887,29.97558252,25.77397074,22.04289675,26.42019908,25.74031404,20.63432272,22.13704137,22.81066274,24.39087363,23.74366399,26.21006854,29.29750105,24.89227001,30.10501136,28.63596858,31.11485491,29.72106714,37.41885544,38.62789186,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,2.923662131,9.406239339,2.838996251,6.962946255,6.521479848,2.071348578,2.403656188,-2.197526467,2.447563001,0.566944543,4.822785479,7.301756468,16.59334674,3.814630315,-2.163404427,2.09628875,22.5277562,7.199751293,10.91277355,11.27143206,11.65523822,6.125522029,-11.77453603,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,42647492,41454761,40578842,40000412,39068979,37856121,36743039,35688935,34700612,33831764,32792523,31622704,30560034,29347708,28284089,27466101,26482622,25909852,25424094,24404567,23560654,22733049,21378117,20284307,20130327,19887785,19159996,18452091,17763266,17065836,16250794,14943172,13278974,12238879,12045660,11874088,11523298,11387818,11420074,11426852,11190221,10917982,10991378,11937581,13169311,13655567,13611441,13340756,13059851,12773954,12469127,12157999,11853696,11567667,11290128,11017409,10756922,10505959,10266395,10036008,9814318,9604487,9404406,9214083,9035043
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,27177735528,23547180412,19017244117,18032009220,15241455556,15585111614,15379508330,13258268436,11988668785,11470171827,13296322588,12796985886,12246499748,12973755875,12086545641,12335540656,13258506375,11116937870,9150528132,8256658250,7406645793,5801712040,4515003117,4059064033,3584570165,3283941510,2600356999,2293666030,3234486232,2905092799,1880950864,1185315468,652174990.8,1099559028,2028553750,2253090000,2051236250,2080796250,2097326250,1897050117,1857337995,1881412587,1861163170,1808177156,1578102105,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
